primaryID	primarySymbol	secondaryID	secondarySymbol	predicateID	mapping_cardinality_sec2pri	comment	source
Entry Withdrawn	Entry Withdrawn	HGNC:1	A12M1	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:2	A12M2	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:3	A12M3	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:4	A12M4	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:12469	UBA1	HGNC:6	A1S9T	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:6692	LRP1	HGNC:9	A2MR	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:6701	LRPAP1	HGNC:10	A2MRAP	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:11714	TEAD1	HGNC:11	AA	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:12	AABT	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:7645	NAT1	HGNC:13	AAC1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:7646	NAT2	HGNC:14	AAC2	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:29	ABCA1	HGNC:24	ABC1	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:32	ABCA2	HGNC:25	ABC2	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:33	ABCA3	HGNC:26	ABC3	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:70	ABCF1	HGNC:27	ABC50	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:48	ABCB7	HGNC:28	ABC7	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:1884	CFTR	HGNC:58	ABCC7	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
